Rate,Methode,,TP,TN,FN,FP,Total,Accuracy,F1,TPR,PPV,TNR
100,KMeansentropy,total,168,2117,118,3351,5754,0.39711505,0.088304862,0.587412587,0.047740835,
100,KMeansentropy,slowread,106,0,0,0,106,1,1,,,
100,KMeansentropy,slowloris,0,0,65,0,65,0,0,,,
100,KMeansentropy,ruby,45,0,0,0,45,1,1,,,
100,KMeansentropy,pingflood,0,0,19,0,19,0,0,,,
100,KMeansentropy,blacknurse,0,0,15,0,15,0,0,,,
100,KMeansentropy,xmas,11,0,4,0,15,0.733333333,0.846153846,,,
100,KMeansentropy,udpflood,6,0,2,0,8,0.75,0.857142857,,,
100,KMeansentropy,synflood,0,0,13,0,13,0,0,,,
100,KMeanscombined,total,129606,36174941,8761,19158836,55472144,0.654464464,0.013343005,0.93668288,0.006719361,
100,KMeanscombined,slowread,1995,0,642,0,2637,0.756541524,0.861398964,,,
100,KMeanscombined,slowloris,6963,0,18,0,6981,0.997421573,0.998709122,,,
100,KMeanscombined,ruby,480,0,466,0,946,0.507399577,0.673211781,,,
100,KMeanscombined,pingflood,4818,0,0,0,4818,1,1,,,
100,KMeanscombined,blacknurse,617,0,0,0,617,1,1,,,
100,KMeanscombined,xmas,31724,0,108,0,31832,0.996607188,0.998300711,,,
100,KMeanscombined,udpflood,62926,0,0,0,62926,1,1,,,
100,KMeanscombined,synflood,20083,0,7527,0,27610,0.727381384,0.842178097,,,
100,KMeansfields,total,129606,36174941,8761,19158836,55472144,0.654464464,0.013343005,0.93668288,0.006719361,
100,KMeansfields,slowread,1995,0,642,0,2637,0.756541524,0.861398964,,,
100,KMeansfields,slowloris,6963,0,18,0,6981,0.997421573,0.998709122,,,
100,KMeansfields,ruby,480,0,466,0,946,0.507399577,0.673211781,,,
100,KMeansfields,pingflood,4818,0,0,0,4818,1,1,,,
100,KMeansfields,blacknurse,617,0,0,0,617,1,1,,,
100,KMeansfields,xmas,31724,0,108,0,31832,0.996607188,0.998300711,,,
100,KMeansfields,udpflood,62926,0,0,0,62926,1,1,,,
100,KMeansfields,synflood,20083,0,7527,0,27610,0.727381384,0.842178097,,,
100,RandomForestentropy,total,0,5469,286,0,5755,0.950304083,0,0,#DIV/0!,
100,RandomForestentropy,slowread,0,0,106,0,106,0,0,,,
100,RandomForestentropy,slowloris,0,0,65,0,65,0,0,,,
100,RandomForestentropy,ruby,0,0,45,0,45,0,0,,,
100,RandomForestentropy,pingflood,0,0,19,0,19,0,0,,,
100,RandomForestentropy,blacknurse,0,0,15,0,15,0,0,,,
100,RandomForestentropy,xmas,0,0,15,0,15,0,0,,,
100,RandomForestentropy,udpflood,0,0,8,0,8,0,0,,,
100,RandomForestentropy,synflood,0,0,13,0,13,0,0,,,
100,RandomForestcombined,total,45480,55362113,92887,0,55500480,0.998326375,0.494759229,0.32869109,1,
100,RandomForestcombined,slowread,1289,0,1348,0,2637,0.488813045,0.656647988,,,
100,RandomForestcombined,slowloris,3348,0,3633,0,6981,0.479587452,0.648271856,,,
100,RandomForestcombined,ruby,0,0,946,0,946,0,0,,,
100,RandomForestcombined,pingflood,73,0,4745,0,4818,0.015151515,0.029850746,,,
100,RandomForestcombined,blacknurse,102,0,515,0,617,0.165316045,0.283727399,,,
100,RandomForestcombined,xmas,13405,0,18427,0,31832,0.421117115,0.592656454,,,
100,RandomForestcombined,udpflood,23729,0,39197,0,62926,0.377093729,0.547666032,,,
100,RandomForestcombined,synflood,3534,0,24076,0,27610,0.127997102,0.2269458,,,
100,RandomForestfields,total,134362,55333772,4005,5,55472144,0.999927711,0.985297029,0.971055237,0.999962788,
100,RandomForestfields,slowread,2636,0,1,0,2637,0.999620781,0.999810355,,,
100,RandomForestfields,slowloris,6979,0,2,0,6981,0.999713508,0.999856734,,,
100,RandomForestfields,ruby,942,0,4,0,946,0.99577167,0.997881356,,,
100,RandomForestfields,pingflood,914,0,3904,0,4818,0.189705272,0.318911375,,,
100,RandomForestfields,blacknurse,617,0,0,0,617,1,1,,,
100,RandomForestfields,xmas,31832,0,0,0,31832,1,1,,,
100,RandomForestfields,udpflood,62893,0,33,0,62926,0.999475574,0.999737718,,,
100,RandomForestfields,synflood,27549,0,61,0,27610,0.997790656,0.998894106,,,
100,entropySip,total,18,4942,268,526,5754,0.862009037,0.043373494,0.062937063,0.033088235,0.948560461
100,entropySip,slowread,0,0,106,0,106,0,0,,,
100,entropySip,slowloris,0,0,65,0,65,0,0,,,
100,entropySip,ruby,0,0,45,0,45,0,0,,,
100,entropySip,pingflood,4,0,15,0,19,0.210526316,0.347826087,,,
100,entropySip,blacknurse,7,0,8,0,15,0.466666667,0.636363636,,,
100,entropySip,xmas,6,0,9,0,15,0.4,0.571428571,,,
100,entropySip,udpflood,0,0,8,0,8,0,0,,,
100,entropySip,synflood,1,0,12,0,13,0.076923077,0.142857143,,,
100,entropyRateSip,total,3,5356,283,112,5754,0.931352103,0.014962594,0.01048951,0.026086957,0.949813797
100,entropyRateSip,slowread,0,0,106,0,106,0,0,,,
100,entropyRateSip,slowloris,0,0,65,0,65,0,0,,,
100,entropyRateSip,ruby,0,0,45,0,45,0,0,,,
100,entropyRateSip,pingflood,0,0,19,0,19,0,0,,,
100,entropyRateSip,blacknurse,0,0,15,0,15,0,0,,,
100,entropyRateSip,xmas,0,0,15,0,15,0,0,,,
100,entropyRateSip,udpflood,0,0,8,0,8,0,0,,,
100,entropyRateSip,synflood,3,0,10,0,13,0.230769231,0.375,,,
100,entropyDip,total,30,4977,256,491,5754,0.870177268,0.074349442,0.104895105,0.057581574,0.951079687
100,entropyDip,slowread,1,0,105,0,106,0.009433962,0.018691589,,,
100,entropyDip,slowloris,0,0,65,0,65,0,0,,,
100,entropyDip,ruby,0,0,45,0,45,0,0,,,
100,entropyDip,pingflood,6,0,13,0,19,0.315789474,0.48,,,
100,entropyDip,blacknurse,9,0,6,0,15,0.6,0.75,,,
100,entropyDip,xmas,4,0,11,0,15,0.266666667,0.421052632,,,
100,entropyDip,udpflood,5,0,3,0,8,0.625,0.769230769,,,
100,entropyDip,synflood,5,0,8,0,13,0.384615385,0.555555556,,,
100,entropyRateDip,total,26,5327,260,141,5754,0.93030935,0.114790287,0.090909091,0.155688623,0.953463397
100,entropyRateDip,slowread,0,0,106,0,106,0,0,,,
100,entropyRateDip,slowloris,0,0,65,0,65,0,0,,,
100,entropyRateDip,ruby,0,0,45,0,45,0,0,,,
100,entropyRateDip,pingflood,6,0,13,0,19,0.315789474,0.48,,,
100,entropyRateDip,blacknurse,8,0,7,0,15,0.533333333,0.695652174,,,
100,entropyRateDip,xmas,2,0,13,0,15,0.133333333,0.235294118,,,
100,entropyRateDip,udpflood,5,0,3,0,8,0.625,0.769230769,,,
100,entropyRateDip,synflood,5,0,8,0,13,0.384615385,0.555555556,,,
100,entropyPacketsize,total,24,5221,262,247,5754,0.911539798,0.086175943,0.083916084,0.088560886,0.95221594
100,entropyPacketsize,slowread,1,0,105,0,106,0.009433962,0.018691589,,,
100,entropyPacketsize,slowloris,1,0,64,0,65,0.015384615,0.03030303,,,
100,entropyPacketsize,ruby,0,0,45,0,45,0,0,,,
100,entropyPacketsize,pingflood,7,0,12,0,19,0.368421053,0.538461538,,,
100,entropyPacketsize,blacknurse,10,0,5,0,15,0.666666667,0.8,,,
100,entropyPacketsize,xmas,2,0,13,0,15,0.133333333,0.235294118,,,
100,entropyPacketsize,udpflood,0,0,8,0,8,0,0,,,
100,entropyPacketsize,synflood,3,0,10,0,13,0.230769231,0.375,,,
100,entropyRatePacketsize,total,286,0,0,5468,5754,0.049704553,0.094701987,1,0.049704553,#DIV/0!
100,entropyRatePacketsize,slowread,106,0,0,0,106,1,1,,,
100,entropyRatePacketsize,slowloris,65,0,0,0,65,1,1,,,
100,entropyRatePacketsize,ruby,45,0,0,0,45,1,1,,,
100,entropyRatePacketsize,pingflood,19,0,0,0,19,1,1,,,
100,entropyRatePacketsize,blacknurse,15,0,0,0,15,1,1,,,
100,entropyRatePacketsize,xmas,15,0,0,0,15,1,1,,,
100,entropyRatePacketsize,udpflood,8,0,0,0,8,1,1,,,
100,entropyRatePacketsize,synflood,13,0,0,0,13,1,1,,,
100,entropyBiflowSyn,total,53,5091,233,377,5754,0.893986792,0.148044693,0.185314685,0.123255814,0.956235913
100,entropyBiflowSyn,slowread,7,0,99,0,106,0.066037736,0.123893805,,,
100,entropyBiflowSyn,slowloris,17,0,48,0,65,0.261538462,0.414634146,,,
100,entropyBiflowSyn,ruby,1,0,44,0,45,0.022222222,0.043478261,,,
100,entropyBiflowSyn,pingflood,1,0,18,0,19,0.052631579,0.1,,,
100,entropyBiflowSyn,blacknurse,1,0,14,0,15,0.066666667,0.125,,,
100,entropyBiflowSyn,xmas,13,0,2,0,15,0.866666667,0.928571429,,,
100,entropyBiflowSyn,udpflood,0,0,8,0,8,0,0,,,
100,entropyBiflowSyn,synflood,13,0,0,0,13,1,1,,,
100,entropySipSyn,total,30,5444,256,24,5754,0.9513382,0.176470588,0.104895105,0.555555556,0.955087719
100,entropySipSyn,slowread,7,0,99,0,106,0.066037736,0.123893805,,,
100,entropySipSyn,slowloris,8,0,57,0,65,0.123076923,0.219178082,,,
100,entropySipSyn,ruby,0,0,45,0,45,0,0,,,
100,entropySipSyn,pingflood,0,0,19,0,19,0,0,,,
100,entropySipSyn,blacknurse,0,0,15,0,15,0,0,,,
100,entropySipSyn,xmas,7,0,8,0,15,0.466666667,0.636363636,,,
100,entropySipSyn,udpflood,0,0,8,0,8,0,0,,,
100,entropySipSyn,synflood,8,0,5,0,13,0.615384615,0.761904762,,,
100,entropyDipSyn,total,29,5440,257,28,5754,0.950469239,0.16909621,0.101398601,0.50877193,0.954888538
100,entropyDipSyn,slowread,6,0,100,0,106,0.056603774,0.107142857,,,
100,entropyDipSyn,slowloris,7,0,58,0,65,0.107692308,0.194444444,,,
100,entropyDipSyn,ruby,0,0,45,0,45,0,0,,,
100,entropyDipSyn,pingflood,0,0,19,0,19,0,0,,,
100,entropyDipSyn,blacknurse,0,0,15,0,15,0,0,,,
100,entropyDipSyn,xmas,8,0,7,0,15,0.533333333,0.695652174,,,
100,entropyDipSyn,udpflood,0,0,8,0,8,0,0,,,
100,entropyDipSyn,synflood,8,0,5,0,13,0.615384615,0.761904762,,,
100,entropyBiflow,total,8,4950,278,518,5754,0.861661453,0.019704433,0.027972028,0.015209125,0.94682479
100,entropyBiflow,slowread,2,0,104,0,106,0.018867925,0.037037037,,,
100,entropyBiflow,slowloris,0,0,65,0,65,0,0,,,
100,entropyBiflow,ruby,0,0,45,0,45,0,0,,,
100,entropyBiflow,pingflood,1,0,18,0,19,0.052631579,0.1,,,
100,entropyBiflow,blacknurse,2,0,13,0,15,0.133333333,0.235294118,,,
100,entropyBiflow,xmas,3,0,12,0,15,0.2,0.333333333,,,
100,entropyBiflow,udpflood,0,0,8,0,8,0,0,,,
100,entropyBiflow,synflood,0,0,13,0,13,0,0,,,
100,entropyRateBiflow,total,32,5426,254,42,5754,0.948557525,0.177777778,0.111888112,0.432432432,0.95528169
100,entropyRateBiflow,slowread,0,0,106,0,106,0,0,,,
