Rate,Methode,,TP,TN,FN,FP,Total,Accuracy,F1,TPR,PPV,TNR
100,KMeansentropy,total,2,2596,168,103,2869,0.905542001,0.014545455,0.011764706,0.019047619,0.961837718
100,KMeansentropy,slowread,0,0,58,0,58,0,0,0,#DIV/0!,#DIV/0!
100,KMeansentropy,slowloris,0,0,35,0,35,0,0,0,#DIV/0!,#DIV/0!
100,KMeansentropy,ruby,2,0,23,0,25,0.08,0.148148148,0.08,1,#DIV/0!
100,KMeansentropy,pingflood,0,0,12,0,12,0,0,0,#DIV/0!,#DIV/0!
100,KMeansentropy,blacknurse,0,0,10,0,10,0,0,0,#DIV/0!,#DIV/0!
100,KMeansentropy,xmas,0,0,13,0,13,0,0,0,#DIV/0!,#DIV/0!
100,KMeansentropy,udpflood,0,0,6,0,6,0,0,0,#DIV/0!,#DIV/0!
100,KMeansentropy,synflood,0,0,11,0,11,0,0,0,#DIV/0!,#DIV/0!
100,KMeanscombined,total,120026,6485529,18551,4829759,11453865,0.576709696,0.047176675,0.866132186,0.02424873,0.573165173
100,KMeanscombined,slowread,1985,0,658,0,2643,0.751040484,0.857821953,0.751040484,1,#DIV/0!
100,KMeanscombined,slowloris,7080,0,31,0,7111,0.995640557,0.997815517,0.995640557,1,#DIV/0!
100,KMeanscombined,ruby,961,0,7,0,968,0.992768595,0.996371177,0.992768595,1,#DIV/0!
100,KMeanscombined,pingflood,4818,0,0,0,4818,1,1,1,1,#DIV/0!
100,KMeanscombined,blacknurse,617,0,0,0,617,1,1,1,1,#DIV/0!
100,KMeanscombined,xmas,23748,0,8079,0,31827,0.746158922,0.85462888,0.746158922,1,#DIV/0!
100,KMeanscombined,udpflood,63003,0,0,0,63003,1,1,1,1,#DIV/0!
100,KMeanscombined,synflood,17814,0,9776,0,27590,0.645668721,0.784688574,0.645668721,1,#DIV/0!
100,KMeansfields,total,120043,6161158,18534,5096593,11396328,0.551160075,0.044832204,0.866254862,0.023011573,0.547281424
100,KMeansfields,slowread,1988,0,655,0,2643,0.752175558,0.858561866,0.752175558,1,#DIV/0!
100,KMeansfields,slowloris,7083,0,28,0,7111,0.996062438,0.998027335,0.996062438,1,#DIV/0!
100,KMeansfields,ruby,961,0,7,0,968,0.992768595,0.996371177,0.992768595,1,#DIV/0!
100,KMeansfields,pingflood,4818,0,0,0,4818,1,1,1,1,#DIV/0!
100,KMeansfields,blacknurse,617,0,0,0,617,1,1,1,1,#DIV/0!
100,KMeansfields,xmas,23759,0,8068,0,31827,0.74650454,0.854855539,0.74650454,1,#DIV/0!
100,KMeansfields,udpflood,63003,0,0,0,63003,1,1,1,1,#DIV/0!
100,KMeansfields,synflood,17814,0,9776,0,27590,0.645668721,0.784688574,0.645668721,1,#DIV/0!
100,RandomForestentropy,total,0,2699,170,0,2869,0.940745904,0,0,#DIV/0!,1
100,RandomForestentropy,slowread,0,0,58,0,58,0,0,0,#DIV/0!,#DIV/0!
100,RandomForestentropy,slowloris,0,0,35,0,35,0,0,0,#DIV/0!,#DIV/0!
100,RandomForestentropy,ruby,0,0,25,0,25,0,0,0,#DIV/0!,#DIV/0!
100,RandomForestentropy,pingflood,0,0,12,0,12,0,0,0,#DIV/0!,#DIV/0!
